,ETkc,petsum,aetsum,aetimsum,petimsum,kc_mean,irr_frac
2001-01-01,0.0017240204027927763,0.0032600170729431377,0.0011782968457721326,0.0012926700439453126,0.003403710131835938,0.22120593,0.39706821665815023
2001-02-01,0.0013304994620740673,0.00244748555372169,0.001083335435638015,0.0010636199340820314,0.0023812202636718754,0.24119334,0.39706821665815023
2001-03-01,0.0032318355425489825,0.005902271785124708,0.0023714423481489464,0.002371409912109375,0.005554169824218751,0.25096196,0.39706821665815023
2001-04-01,0.004499965272148746,0.005344342623214901,0.0018081474664779903,0.001838880065917969,0.005035229736328126,0.3733751,0.39706821665815023
2001-05-01,0.009556795074473344,0.010906903420702257,0.0015855490820250245,0.0015367500000000001,0.01018160947265625,0.4353945,0.39706821665815023
2001-06-01,0.007687168652621169,0.007604555211400588,0.0012059653329202942,0.00102555,0.007101809912109375,0.50048405,0.39706821665815023
2001-07-01,0.012038278085385679,0.01127084806196429,0.0028931907306818873,0.0024371099121093752,0.010545929296875001,0.5220586,0.39706821665815023
2001-08-01,0.010863180156752047,0.010516880314226543,0.0017288004783084065,0.0015092998901367189,0.00985698017578125,0.5202222,0.39706821665815023
2001-09-01,0.006245414283670837,0.008535957879589339,0.0009463137264693138,0.0008721899780273438,0.0080022603515625,0.40311784,0.39706821665815023
2001-10-01,0.002869952048335781,0.004912943356389729,0.0004952746654374998,0.00048195,0.00463365,0.34245765,0.39706821665815023
2001-11-01,0.00119581930939624,0.0024563402969142406,0.0006569637075292646,0.0006453899780273438,0.00238725,0.26028833,0.39706821665815023
2001-12-01,0.0005933963797516983,0.0011460236740004899,0.0007146028290173774,0.0006686100219726563,0.0010674899780273438,0.2011391,0.39706821665815023
2002-01-01,0.0009842914656101021,0.0018753371907882356,0.0009716501999570836,0.0009363600219726563,0.0017736298461914065,0.22120593,0.39706821665815023
2002-02-01,0.0019244766875513215,0.003404435083703555,0.0014685620019194113,0.0014832001098632813,0.003337109912109375,0.24119334,0.39706821665815023
2002-03-01,0.002729787892915095,0.00512390328008,0.001848276903645367,0.0017759699340820314,0.00470043017578125,0.25096196,0.39706821665815023
2002-04-01,0.004198168174163497,0.00522048310072902,0.0014836388256298536,0.001452239978027344,0.00494415,0.3733751,0.39706821665815023
2002-05-01,0.00833700133384648,0.009424426244691959,0.001680283558008579,0.0015672600219726563,0.0088001103515625,0.4353945,0.39706821665815023
2002-06-01,0.012120647050880416,0.011729607396707552,0.0029242090931196575,0.00249686982421875,0.01097568017578125,0.50048405,0.39706821665815023
2002-07-01,0.012448786570088133,0.011590275875403953,0.0028834253248400487,0.0023895,0.01087578017578125,0.5220586,0.39706821665815023
2002-08-01,0.011089798606780908,0.01070671172413375,0.0016049548605815208,0.0013709700439453127,0.010078739648437501,0.5202222,0.39706821665815023
2002-09-01,0.006585927726843893,0.009066795224911665,0.0007977429274831126,0.0007242300109863281,0.00851750947265625,0.40311784,0.39706821665815023
2002-10-01,0.0030026112232988474,0.0052111067845370335,0.0004318318138578922,0.0004071600219726563,0.0048842094726562505,0.34245765,0.39706821665815023
2002-11-01,0.001335911534790636,0.002263051601338531,0.00038276910398789217,0.0004703400329589844,0.0027301502197265627,0.26028833,0.39706821665815023
2002-12-01,0.0005394353106043208,0.0010589501038489695,0.0005601575399915441,0.0005535000000000001,0.0010529100219726563,0.2011391,0.39706821665815023
2003-01-01,0.0005040666897633086,0.0009132865559644609,0.0005084495249982353,0.0005296500000000001,0.0009549001098632813,0.22120593,0.399774846704139
2003-02-01,0.00181457056836352,0.003550045163801324,0.0013272708135637998,0.0012783600219726564,0.003355470043945313,0.24119334,0.399774846704139
2003-03-01,0.0028829072738206203,0.004948269775731937,0.0022774772711041664,0.0022624198242187504,0.00471123017578125,0.25096196,0.399774846704139
2003-04-01,0.0035240441471294055,0.003949528790387842,0.0019172711223513228,0.0019044,0.0037602000000000004,0.3733751,0.399774846704139
2003-05-01,0.008372341549046374,0.008892875723889141,0.0024875531155978433,0.002466360131835938,0.00829665,0.4353945,0.399774846704139
2003-06-01,0.011858653879734532,0.011401328907126914,0.002611367682635147,0.00228015,0.0106388103515625,0.50048405,0.399774846704139
2003-07-01,0.012348051258570022,0.011620759766054414,0.001804014205607818,0.0015040800659179689,0.0109301396484375,0.5220586,0.399774846704139
2003-08-01,0.011229201332914681,0.010677086696663724,0.0021376123520290935,0.0018459898681640627,0.010030230175781252,0.5202222,0.399774846704139
2003-09-01,0.006442130765012831,0.008794540677718309,0.0008284979411750002,0.0007509599670410157,0.00826290087890625,0.40311784,0.399774846704139
2003-10-01,0.0033420941437298066,0.005816570140201422,0.0003385186546211766,0.00031833001098632814,0.005431319384765625,0.34245765,0.399774846704139
2003-11-01,0.0012433936283876195,0.0023900988542962004,0.0007129525003369361,0.0006972299560546875,0.002333340087890625,0.26028833,0.399774846704139
2003-12-01,0.0006616875760170506,0.0012829869783773774,0.000761446142896201,0.0007491600219726564,0.0012575700439453126,0.2011391,0.399774846704139
2004-01-01,0.0006977728009553332,0.0011966338763061766,0.0006477064961724508,0.0006650099670410157,0.0012321,0.22120593,0.399774846704139
2004-02-01,0.0014331209575318166,0.0026291997556217154,0.0013152255949916418,0.0012576601318359374,0.002500109912109375,0.24119334,0.399774846704139
