date,SHA,YRS,NHG,EXC,PNF,SCC,MKM,TRM,ORO,NML,MHB,NAT,ISB,TLG,SJF
2003-10-01,2804.166666666667,400.0,0.0,34.16666666666667,45.833333333333336,0.0,0.0,33.333333333333336,1112.5,284.1666666666667,5.833333333333334,52.5,128.33333333333334,322.5,259.1666666666667
2003-10-02,2828.1460481390664,0.0,0.0,17.766972117174294,0.0,0.0,0.0,33.02027369942549,823.3342443569063,0.0,5.920833333333333,0.0,128.63436122118998,0.0,0.0
2003-10-03,2846.7449382786363,0.0,0.0,16.255172559107347,0.0,0.0,0.0,32.61651210748701,778.6451290344933,0.0,6.0017708333333335,0.0,128.8446478934998,0.0,0.0
2003-10-04,2864.4045366577384,0.0,0.0,15.055085199034972,0.0,0.0,0.0,32.18001308917515,759.9271665237765,0.0,6.076638020833333,0.0,128.99553546516196,0.0,0.0
2003-10-05,2883.756317502158,0.0,0.0,13.729150384091861,0.0,0.0,0.0,31.700520907216376,740.492713809488,0.0,6.145890169270833,0.0,129.104018353842,0.0,0.0
2003-10-06,2903.49745744111,0.0,0.0,12.238899591754716,0.0,0.0,0.0,31.1629575686123,721.3068189832303,0.0,6.211354656575521,0.0,129.17008923420082,0.0,0.0
2003-10-07,2921.5901488261484,0.0,0.0,10.520540756394459,0.0,0.0,0.0,30.562533836844377,703.3428448467355,0.0,6.277428838582357,0.0,129.0250859375,0.0,0.0
2003-10-08,2937.9628082868053,0.0,0.0,8.510414939147411,0.0,0.0,0.0,29.97316105250068,683.7162596316059,0.0,6.34646552334493,0.0,128.3571875,0.0,0.0
2003-10-09,2952.556198629978,0.0,0.0,6.756909703335568,0.0,0.0,0.0,29.40189708378452,662.1359219412632,0.0,6.4162424181760915,0.0,128.0,0.0,0.0
2003-10-10,2965.3557285757506,0.0,0.0,5.358821300903317,0.0,0.0,0.0,28.776827083821104,637.5325932356984,0.0,6.484853910213764,0.0,128.12234375,0.0,0.0
2003-10-11,2976.386805021217,0.0,0.0,3.96899600097656,0.0,0.0,0.0,28.08806887017822,611.7721456063715,0.0,6.552082314843545,0.0,128.4977421875,0.0,0.0
2003-10-12,2985.66413617133,0.0,0.0,2.5485767578124983,0.0,0.0,0.0,27.350952727050778,598.4158330879692,0.0,6.6177491555339065,0.0,128.99810729913426,0.0,0.0
2003-10-13,2993.3451767338875,0.0,0.0,0.8958515624999992,0.0,0.0,0.0,26.560996191406247,595.2407655005072,0.0,6.6817105070997185,0.0,129.46774375393971,0.0,0.0
2003-10-14,2999.615878140798,0.0,0.0,0.0,2.5873927529409473,0.0,0.0,26.112394531249997,588.7544931086564,0.0,6.743852816930781,0.0,129.8808874558947,0.0,0.0
2003-10-15,3004.6163762728893,0.0,0.0,0.04499999999999995,7.200166113276164,0.0,0.0,26.03890625,578.0403764181422,0.0,6.805495408684748,0.0,130.23182388171415,0.0,0.0
2003-10-16,3008.703918669478,0.0,0.0,0.15814096925527305,11.962875635325805,0.0,0.0,26.0,562.3643430977381,0.0,6.867769939580384,0.0,130.52064331096318,0.0,0.0
2003-10-17,3012.1049498451375,0.0,0.0,0.2806115395045338,16.797552794680822,0.0,0.0,26.0140625,541.7998159177934,0.0,6.930234879167823,0.0,130.73406314717076,0.0,0.0
2003-10-18,3014.758557415548,0.0,0.0,0.36678641609622087,21.763643454683876,0.0,0.0,26.063984375000004,516.1776524832947,0.0,6.993917621907007,0.0,130.84820311505877,0.0,0.0
2003-10-19,3016.573097197438,0.0,0.0,0.39991521637795685,26.80017803121639,0.0,0.0,26.149825827773675,489.27646484375,0.0,7.0582841320399945,0.0,130.06009863527646,0.0,0.0
2003-10-20,3017.4661387633837,0.0,0.0,0.0,31.85740567683643,0.0,0.0,26.244446139180898,461.29296875,0.0,7.121467379029806,0.0,128.27094180560928,0.0,0.0
2003-10-21,3009.6003833697714,0.0,0.0,0.015283608398437473,36.9585379270639,0.0,0.0,26.326360077152728,446.0,0.0,7.184689040728421,0.0,126.15201367611134,0.0,0.0
2003-10-22,2994.3235897071854,0.0,0.0,0.036155125854492126,41.846511395259995,0.0,0.0,26.39148622887634,447.25015625,0.0,7.2518066991652015,0.0,123.72843562977894,0.0,0.0
2003-10-23,2984.0711945314165,0.0,0.0,0.0,46.332550230798766,0.0,0.0,26.44111155090186,450.0546603514638,0.0,7.319463405097616,0.0,120.99459131362764,0.0,0.0
2003-10-24,2979.641325169099,0.0,0.0,0.03010136192550654,50.444336711891495,0.0,0.0,26.490059434584218,452.85984387098176,0.0,7.3811689971542,0.0,117.87152491762677,0.0,0.0
2003-10-25,2974.0797138652424,0.0,0.0,0.08291476339971528,54.21102350913762,0.0,0.0,26.5559026332404,454.8423419855991,0.0,7.436258191958954,0.0,114.36456914612498,0.0,0.0
2003-10-26,2966.1834521727287,0.0,0.0,0.11179280833589869,57.652982192376804,0.0,0.0,26.64286276777862,455.57740829841606,0.0,7.484709882701929,0.0,111.00390005371092,0.0,0.0
2003-10-27,2955.089657419103,0.0,0.0,0.0,60.78600618368514,0.0,0.0,26.74880817982413,433.40498715393886,0.0,7.526603327793339,0.0,107.77212167968749,0.0,0.0
2003-10-28,2939.8491105822145,0.0,0.0,0.028198520507812446,63.61949268218826,0.0,0.0,26.87743317699406,406.02587232812533,0.0,7.562946979493238,0.0,104.0798359375,0.0,0.0
2003-10-29,2931.0,0.0,0.0,0.06684875354003894,66.15438719083339,0.0,0.0,27.02614612857699,381.77500000000003,0.0,7.595725956031245,0.0,101.05,0.0,0.0
